Years,Population (million),GDP per capita (EUR),GDP (EUR bn),Economic Growth (GDP - annual variation in %),Domestic Demand (annual variation in %),Consumption (annual variation in %),Investment (annual variation in %),Exports (G&S - annual variation in %),Imports (G&S - annual variation in %),Industrial Production (annual variation in %),Retail Sales (annual variation in %),Unemployment Rate,Fiscal Balance (% of GDP),Public Debt (% of GDP),Inflation Rate (CPI - annual variation in % - eop),Inflation Rate (CPI - annual variation in %),Inflation (PPI - annual variation in %),Stock Market (annual variation in %),Current Account (% of GDP),Current Account Balance (EUR bn),Trade Balance (EUR billion),Class
2015,81.7,37056,3027,1.7,1.6,1.9,1.8,5.5,5.8,0.9,3.8,6.4,0.9,72.1,0.2,0.5,-1.9,9.6,8.5,260,242,0
2016,82.3,37989,3134,2.2,3.0,2.3,3.8,2.4,4.3,1.8,2.6,6.1,1.2,69.2,1.5,0.5,-1.6,6.9,8.5,267,246,1
2017,82.7,39304,3245,2.5,2.4,1.3,2.5,4.9,5.2,3.3,2.8,5.7,1.2,65.3,1.4,1.5,2.7,12.5,7.7,254,249,1
2018,82.9,40395,3344,1.5,2.1,1.3,3.5,2.1,3.6,0.9,1.8,5.2,1.9,61.9,1.6,1.7,2.6,-18.3,7.5,247,231,0
2019,83.0,41474,3436,0.6,1.2,1.6,2.6,1.0,2.5,-3.1,3.0,5.0,1.4,59.8,1.5,1.4,1.1,25.5,7.0,245,226,0
